k_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8,-24,67,656,-327,341,1220,130,-102,696,976,-475,-880,1098,-92,38,72,80,-752,275,53,719,821,187,-240,-461,96,-29,925,23,-925,304,-37,358,1090,-974,498,-397,-232,349,-116,778,1183,189,-794,-502,-35,181,226,779,20,209,-412,-944,-366,1,-1116,-59,492,-1520,-23,-178,231,1789,58
9,-358,-252,68,69,-53,-854,433,-14,-455,-1090,124,-736,998,76,103,-83,-312,100,-235,-260,242,217,-188,216,934,-250,67,-2017,205,939,146,-405,74,-1748,718,1648,465,770,110,540,-253,-1023,-687,591,98,95,264,-103,1005,434,162,37,676,-240,74,-102,-692,-1508,-478,-1416,-85,-79,-1748,-41
10,1187,38,-857,5,123,-900,-591,468,599,-776,-507,634,-774,43,532,-218,-90,918,71,-297,429,-173,171,-139,-1749,-18,-801,169,154,1638,131,-476,-1003,1667,1502,2,-88,-1278,1605,-2,381,-940,-484,-484,390,143,-66,-179,306,263,194,6,305,-512,-3,1290,357,-738,-761,-385,-73,296,-698,16
11,-775,208,4580,82,-22,-1044,674,-399,-176,-682,374,230,2460,166,368,-270,-51,-1720,-8,-777,-685,-589,18,95,-872,-43,393,1430,-6,-343,203,-21,105,-271,-230,-990,291,-558,-1361,-54,-637,369,-738,523,1842,228,93,-240,-2455,161,354,95,-1041,-214,40,-196,359,-712,1514,-135,259,-5,-3978,192
12,146,-216,-272,-40,142,-26,267,-116,-578,1046,84,-368,-1292,-55,111,448,-540,-230,-108,12,-159,380,27,122,171,-127,377,-65,-29,-1621,-98,350,439,-591,-2158,972,330,702,-670,-340,202,2245,1349,842,-142,-293,100,338,1698,-247,-162,211,696,608,-72,-796,-257,164,-2817,-187,47,-58,1290,-206
13,865,27,191,247,65,-262,66,-104,552,-750,123,-1114,1079,85,148,-4,-326,-1356,252,42,1294,-317,-49,-222,-1731,218,5,-6,-120,545,579,138,-222,-534,-102,-458,165,-486,-506,-424,-842,1906,-88,5,-370,136,-371,-217,-489,-324,-187,136,-1532,-832,-137,1506,45,58,-1656,570,-169,272,-1302,-107
14,255,-100,981,90,-3,790,86,150,14,-706,309,-174,1208,78,200,163,-179,-170,-195,-396,468,-443,-230,277,309,-71,-423,730,225,1172,1091,-331,136,305,2836,-954,87,-334,754,399,420,-2505,-533,-1185,284,83,579,104,-313,258,194,-174,1797,-502,-434,60,1283,-6,741,-468,198,216,331,327
15,1102,-55,-2525,51,-26,920,90,224,859,700,-218,-686,-534,94,-121,64,-128,-32,-42,19,123,785,-567,-305,-727,194,415,-1393,-21,-1415,410,399,513,496,-610,634,250,1118,-90,-254,-460,1085,-696,902,240,-136,-766,-5,-1701,-220,-242,-141,2421,-420,-28,70,403,694,1266,139,-364,161,1790,-231
16,521,26,282,52,102,576,152,55,-307,-772,-178,-502,1666,13,223,-258,405,-44,55,-475,686,107,-4,114,232,33,-271,315,84,668,541,-354,-251,682,2442,538,253,-412,-20,340,957,367,-886,-326,294,191,-61,-3,-159,367,69,230,1240,2006,-494,-438,499,-1070,776,-550,-115,96,-271,303
17,-26,27,3128,183,44,768,253,-263,-820,298,-172,1004,-1026,104,82,-303,-59,202,124,81,864,238,202,334,-155,-119,-239,1264,-195,1141,-298,285,-289,1638,-268,176,372,-580,-351,-10,-54,435,-195,-432,1488,-80,156,-275,-3237,-212,266,347,615,906,-60,-726,-2309,932,-289,-1028,-19,-232,-1641,-340
