Q_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4172.462222716941,11419.080173113769,3137.217517163896,5451.678640565675,28931.716575412527,31722.535081547314,2859.684772837734,3347.1711937096975,14197.35073878222,3259.889568681737,4116.989191144422,28320.970604836268,3278.003546367819,27252.805213408767,5528.170764366817,4452.732644118665,5551.852663751083,4153.434602831733,10764.397614358177,30318.595218116556,10633.150238758033,4165.353166299347,2848.10603735184,7616.308817268376,4248.240753535515,6792.042402694495,5515.104713421133,8191.938171153393,4842.622430047587,3117.6262203798583,5576.705837678728,7339.937329432725,3117.6503973345057,4408.320400107052,29130.806785943983,30589.74677894539,5346.9991584065165,30619.368510797212,3584.946199038418,6465.5632391927,2550.0443133404565,2895.139925374938,29166.81182440069,10437.164749106914,13102.365587938692,6524.83256490157,4004.5658940764106,10204.902351321152,6011.920325486691,3622.6205984066287,26480.71539819119,6438.448260256504,3877.932245411206,14288.798409943363,32206.151958903753,14200.045070351009,6306.751541007462,7532.670442811102,5937.7073858518825,3340.4987277351265,11816.671612598871,14591.287263295175,4923.23265243478,3707.5166891060653
,
K_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4165.4696013774965,11972.357495497701,2980.7687032877943,5548.366246022337,36436.128005044666,26187.981365504293,3020.3827572014775,3018.6919352593764,16369.197903379383,3529.9403677682717,4553.079836769832,26789.539451061864,3672.647069893866,27704.14669322988,6771.160018785556,3895.2360647334326,5985.722345715678,3690.4973919513886,10225.502237054177,30500.78031788695,11326.1612208197,4178.1379824031665,3017.5765110432576,8317.749695680917,3604.8956295571165,7189.476754256877,5128.784651357473,11123.808880055429,4423.477365150635,3155.971443153439,5552.29574140283,7610.727429096381,3064.356212975247,4212.949679262737,34348.20286419655,27285.041176439518,5191.410983538098,35330.47817395061,3560.9352001967122,6693.372543045844,2950.369468388663,2739.9957801062396,28267.668032577432,9545.243213245014,18241.728426878853,8442.801430804824,5566.842552111565,9694.300181034214,6084.551421427877,3728.130362527577,30091.784925457647,5201.750474599872,4442.365192102063,13385.166117758868,26331.99483518102,12993.19083212434,6134.9255904208,6370.391196779049,6473.36792172359,2691.813329337679,10902.855405809985,12906.819282844244,5153.09639925356,5499.093743518108
,
V_max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4197.258152651561,9464.574792350684,3209.0937388926486,5547.764955367161,31800.143899045488,30587.60847140554,3089.101649347266,3073.0470220938696,16964.16646935534,3729.839406730536,3929.5719868708347,26802.53361158232,2880.636604988557,29781.566379221895,6733.221517223386,3985.1042646334863,6202.342783174758,3983.1939445625794,11325.909411610177,30455.080627048093,10968.21936323303,3797.1482720589147,3360.8213281875014,7163.835844015412,4081.9484930606363,8362.996592131316,5222.090769031117,9945.305274349299,4088.8687922211443,3331.2695027571694,5486.443656869174,7292.461587146003,2280.3245383058966,4835.913047191812,28313.22065749497,30138.08434522672,4600.767327305305,32775.22771850716,2871.8063131067875,6540.926539871855,3050.7721563564855,2745.655090319977,25023.9769820866,10770.51493662211,13401.062644432344,6676.3870468989435,4086.100830865533,9105.925982567616,6985.398914879522,3524.9130485729715,25025.64188986968,4998.121247028727,4133.801277274949,12599.200609562497,28265.28046915509,13671.857810846337,5789.4423738387795,7847.221164208385,6453.078412664765,3005.2456638351546,10842.612231376717,13463.907308058831,5053.786352824979,4060.9969219392424
,
